,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
424,Michaeline,Bordman,Female,60,1953-11-19,Sales Representative,Retail,Mass Customer,N,Yes,20.0
2958,Max,Gonthier,Female,1,1953-11-23,Registered Nurse,Health,Mass Customer,N,Yes,11.0
3624,Cammie,Rubinfeld,Female,24,1953-11-30,VP Marketing,Manufacturing,High Net Worth,N,Yes,18.0
2481,Regan,Siemens,Male,95,1953-12-10,Pharmacist,Health,Mass Customer,N,Yes,10.0
718,Pattin,Weathey,Male,2,1953-12-30,Administrative Officer,Retail,Mass Customer,N,No,14.0
466,Welbie,Rockliffe,Male,51,1954-01-02,Human Resources Assistant I,Property,Affluent Customer,N,No,15.0
365,Constance,Ucchino,Female,7,1954-01-08,Librarian,Entertainment,High Net Worth,N,No,19.0
254,Keeley,Kruger,Female,2,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,5.0
2,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,Yes,15.0
3369,Brant,Follis,Male,8,1954-01-22,Data Coordiator,0,High Net Worth,N,Yes,5.0
186,Pincas,Ather,Male,97,1954-01-28,Structural Engineer,0,Mass Customer,N,No,11.0
2282,Gaspar,Janaway,Male,44,1954-02-08,Software Consultant,0,High Net Worth,N,No,16.0
3805,Ado,Gailor,Male,1,1954-02-08,0,Property,Mass Customer,N,No,7.0
3099,Peggy,Wrankling,Female,19,1954-02-09,Recruiter,0,Mass Customer,N,No,7.0
3392,Henrietta,Olexa,Female,23,1954-02-21,Technical Writer,Retail,Mass Customer,N,Yes,7.0
3647,Tracie,Bartolomeoni,Female,82,1954-02-21,Paralegal,Financial Services,Mass Customer,N,No,5.0
3454,Coop,Skey,Male,29,1954-02-25,Administrative Officer,0,Mass Customer,N,Yes,11.0
2485,Alaine,Halbord,Female,77,1954-03-09,Structural Engineer,Manufacturing,Mass Customer,N,Yes,5.0
2177,Veriee,Colthard,Female,20,1954-03-18,Mechanical Systems Engineer,Retail,Mass Customer,N,No,12.0
845,Alvan,Rebichon,Male,60,1954-03-25,Geologist I,Manufacturing,Affluent Customer,N,No,17.0
983,Luciano,Weddup,Male,89,1954-03-25,Programmer I,Manufacturing,Affluent Customer,N,No,16.0
1814,Bab,Bingall,Female,23,1954-03-26,Software Test Engineer I,Argiculture,Mass Customer,N,Yes,19.0
52,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0
3591,Pall,MacCart,Male,72,1954-04-27,Junior Executive,0,Mass Customer,N,No,12.0
2609,Arliene,Bartolijn,Female,41,1954-04-30,Account Coordinator,IT,Mass Customer,N,No,10.0
10,Uriah,Bisatt,Male,99,1954-04-30,0,Property,Mass Customer,N,No,9.0
2598,Pauly,Eilles,Female,9,1954-05-03,VP Marketing,Manufacturing,Mass Customer,N,No,5.0
2207,Lavena,Embling,Female,59,1954-05-07,0,0,Mass Customer,N,No,9.0
219,Jeniffer,Apark,Female,79,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0
1948,Onida,Cockshot,Female,9,1954-05-10,Legal Assistant,Manufacturing,Mass Customer,N,No,7.0
2528,Ben,Laidler,Male,81,1954-05-11,Quality Engineer,Manufacturing,High Net Worth,N,Yes,10.0
3910,Valeda,Ezele,Female,81,1954-05-25,Recruiting Manager,0,Mass Customer,N,No,5.0
3596,Giorgi,0,Male,71,1954-06-16,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,16.0
229,Maegan,Scyone,Female,74,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,11.0
140,Townsend,Trobe,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0
2049,Opal,Costa,Female,22,1954-06-26,Business Systems Development Analyst,0,Mass Customer,N,Yes,5.0
1709,Matilde,MacKeeg,Female,49,1954-06-30,Health Coach IV,Health,High Net Worth,N,No,17.0
370,Pernell,Favelle,Male,7,1954-07-06,Systems Administrator III,Financial Services,Mass Customer,N,No,7.0
685,Hallie,Le feaver,Female,60,1954-07-17,GIS Technical Architect,Argiculture,High Net Worth,N,Yes,5.0
205,Mari,Chevolleau,Female,98,1954-07-19,Statistician I,0,Mass Customer,N,Yes,14.0
533,Madel,Palffrey,Female,2,1954-08-16,Systems Administrator I,0,Mass Customer,N,No,12.0
2420,Marilee,Garbott,Female,54,1954-08-16,Research Nurse,Health,Affluent Customer,N,Yes,13.0
3962,Ardelle,Dasent,Female,10,1954-08-22,Software Test Engineer II,0,Mass Customer,N,No,13.0
673,Dalila,Rosel,Female,61,1954-08-22,Developer II,0,Mass Customer,N,No,5.0
2517,Krystalle,Ives,Female,53,1954-08-22,Recruiting Manager,0,Mass Customer,N,Yes,19.0
690,Carver,Carwardine,Male,29,1954-08-25,0,Financial Services,Affluent Customer,N,Yes,5.0
3539,Ali,Naris,Male,49,1954-08-27,0,0,Mass Customer,N,Yes,7.0
3925,Allistir,Heckney,Male,24,1954-09-04,Account Executive,Manufacturing,Mass Customer,N,Yes,18.0
3557,Torey,Sarney,Male,16,1954-09-05,0,0,High Net Worth,N,Yes,7.0
268,Zacherie,Grindley,Male,55,1954-09-19,Nurse Practicioner,Property,Mass Customer,N,Yes,9.0
2572,Tera,Van Weedenburg,Female,72,1954-09-23,Software Engineer I,0,Mass Customer,N,No,10.0
3371,Orazio,Wissby,Male,62,1954-09-25,0,Telecommunications,High Net Worth,N,No,15.0
3602,Cale,Yaneev,Male,90,1954-09-27,Sales Representative,Retail,Mass Customer,N,Yes,14.0
1738,Burnaby,Stiffkins,Male,20,1954-10-06,Software Consultant,Entertainment,Mass Customer,N,No,7.0
2676,Zollie,Exell,Male,34,1954-10-08,0,Financial Services,Mass Customer,N,No,10.0
2771,Reynolds,Vreede,Male,15,1954-10-25,Quality Engineer,Property,Affluent Customer,N,Yes,13.0
235,Tybalt,Gillingwater,Male,79,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,14.0
2814,Emery,Carlett,Male,50,1954-10-30,0,Health,Mass Customer,N,No,19.0
3829,Jareb,Filippucci,Male,92,1954-10-31,Sales Representative,Retail,High Net Worth,N,No,8.0
2712,Hadlee,Mackro,Male,55,1954-11-03,Statistician II,Retail,Affluent Customer,N,Yes,5.0
1877,Pen,Hedgecock,Male,6,1954-11-06,Account Coordinator,Health,Affluent Customer,N,No,10.0
2360,Jeannette,Cerman,Female,55,1954-11-28,Help Desk Operator,0,High Net Worth,N,Yes,20.0
2113,Erick,Caveill,Male,78,1954-11-29,Safety Technician III,Argiculture,High Net Worth,N,No,19.0
596,Cassandra,Aucoate,Female,6,1954-12-10,Recruiter,Manufacturing,Mass Customer,N,No,6.0
1351,Jerald,Lesly,Male,53,1954-12-28,Electrical Engineer,Manufacturing,High Net Worth,N,No,18.0
1540,Dynah,Grimes,Female,7,1954-12-28,Structural Engineer,Argiculture,Mass Customer,N,Yes,13.0
1977,Marge,Skerm,Female,53,1955-01-06,Dental Hygienist,Health,Mass Customer,N,No,16.0
3379,Abe,Ealam,Male,41,1955-01-09,Speech Pathologist,Manufacturing,High Net Worth,N,Yes,14.0
2949,Kristos,Anthony,Male,19,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0
2505,Arlana,Ferrick,Female,97,1955-01-20,0,Health,Affluent Customer,N,No,9.0
3651,Aldrich,Camble,Male,20,1955-02-06,Nurse,Health,High Net Worth,N,Yes,17.0
392,Cesaro,Isbell,Male,35,1955-02-08,Associate Professor,Manufacturing,Mass Customer,N,Yes,9.0
3667,Katlin,Ragsdale,Female,79,1955-02-09,Desktop Support Technician,Property,Mass Customer,N,Yes,6.0
1609,Valaree,Chisolm,Female,75,1955-02-10,Structural Engineer,0,High Net Worth,N,Yes,9.0
12,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0
1666,Jaime,Simonnin,Male,67,1955-02-18,Geological Engineer,Manufacturing,High Net Worth,N,No,18.0
3003,Waylon,Hammant,Male,82,1955-02-20,Research Assistant II,Health,Mass Customer,N,Yes,16.0
90,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0
3506,Christoph,Greatreax,Male,70,1955-03-03,Physical Therapy Assistant,Financial Services,Mass Customer,N,No,5.0
1142,Goraud,Boissieux,Male,64,1955-03-06,Office Assistant IV,Health,Mass Customer,N,Yes,6.0
1806,Pollyanna,Serjeantson,Female,45,1955-03-15,Help Desk Operator,0,High Net Worth,N,Yes,16.0
2763,Callie,Coltart,Female,12,1955-03-29,0,Financial Services,Mass Customer,N,Yes,20.0
3708,Lilly,Roubay,Female,31,1955-03-31,GIS Technical Architect,Health,Mass Customer,N,No,8.0
1014,Toiboid,Sorrel,Male,7,1955-04-01,Web Developer I,Health,Mass Customer,N,No,17.0
511,Sigfried,Semken,Male,76,1955-04-15,VP Accounting,Financial Services,Mass Customer,N,No,6.0
553,Esmaria,Dobbison,Female,33,1955-05-06,Graphic Designer,Health,Mass Customer,N,Yes,7.0
3165,Bronson,Plowman,Male,96,1955-05-11,Social Worker,Health,Mass Customer,N,No,20.0
793,Scott,Ommundsen,Male,99,1955-05-12,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,16.0
1011,Anna-diane,Preddle,Female,20,1955-05-20,Software Test Engineer III,0,High Net Worth,N,Yes,11.0
2757,Fabien,Whittlesea,Male,17,1955-05-24,0,Manufacturing,Affluent Customer,N,No,19.0
414,Conchita,Jeans,Female,20,1955-05-31,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,18.0
1835,Rochella,Harce,Female,54,1955-06-05,Research Nurse,Health,Mass Customer,N,Yes,13.0
3844,Bonnie,Goracci,Female,72,1955-06-07,Legal Assistant,Manufacturing,Mass Customer,N,Yes,5.0
165,Elston,Oleszczak,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0
967,Wayne,Woodfin,Male,96,1955-06-16,Accountant IV,IT,High Net Worth,N,Yes,16.0
2912,Padraic,Bonnar,Male,44,1955-07-11,VP Quality Control,IT,Affluent Customer,N,Yes,14.0
1318,Trevor,St. Paul,Male,20,1955-07-18,0,Entertainment,Mass Customer,N,Yes,12.0
2225,Hedvig,Flatt,Female,10,1955-07-22,Biostatistician II,Entertainment,Mass Customer,N,No,11.0
1045,Shir,Clevely,Female,0,1955-07-23,Budget/Accounting Analyst II,0,Affluent Customer,N,No,11.0
274,Dud,0,Male,7,1955-07-27,VP Sales,Health,High Net Worth,N,No,13.0
2484,Ringo,Parkyn,Male,93,1955-07-27,Help Desk Technician,0,Mass Customer,N,Yes,12.0
1674,Luke,Wombwell,Male,76,1955-08-14,Engineer I,Manufacturing,Affluent Customer,N,Yes,14.0
1615,Shamus,Attenbrough,Male,75,1955-08-16,Media Manager II,Retail,High Net Worth,N,Yes,19.0
1744,Leigha,Clawson,Female,37,1955-08-23,Chief Design Engineer,Financial Services,Mass Customer,N,Yes,6.0
3808,Angelita,Itzcovichch,Female,44,1955-09-08,VP Quality Control,Manufacturing,Affluent Customer,N,No,11.0
3567,Berthe,Griniov,Female,13,1955-09-15,Nurse,Retail,Affluent Customer,N,No,5.0
2907,Tiffy,Feenan,Female,42,1955-09-21,Social Worker,Health,Affluent Customer,N,Yes,11.0
2746,Anna-diane,Crumpe,Female,5,1955-09-23,Software Test Engineer III,0,Affluent Customer,N,No,11.0
1799,Dianemarie,Hatherall,Female,30,1955-09-23,Executive Secretary,Argiculture,High Net Worth,N,No,11.0
3128,Leola,Mandrier,Female,44,1955-09-25,Analog Circuit Design manager,Property,High Net Worth,N,Yes,11.0
3016,Jason,De Lorenzo,Male,88,1955-10-05,Operator,Financial Services,Affluent Customer,N,No,7.0
2407,Celestia,0,Female,38,1955-10-10,VP Marketing,Health,Mass Customer,N,No,16.0
1076,Sheba,Este,Female,8,1955-10-11,0,Telecommunications,Mass Customer,N,Yes,18.0
2866,Lem,Meegan,Male,53,1955-10-19,Sales Associate,0,High Net Worth,N,No,12.0
2253,Ann,Beek,Female,36,1955-10-21,Programmer Analyst II,Health,Affluent Customer,N,No,18.0
37,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0
3329,Tina,Pristnor,Female,70,1955-11-06,0,Health,Mass Customer,N,Yes,18.0
1200,Stephani,Mellhuish,Female,42,1955-11-28,0,Manufacturing,Mass Customer,N,No,10.0
2051,Ganny,Sealeaf,Male,5,1955-11-30,0,Retail,Mass Customer,N,Yes,8.0
2192,Roldan,Carrington,Male,66,1955-12-16,Developer III,0,Mass Customer,N,Yes,6.0
766,Gustav,Kos,Male,70,1955-12-16,Budget/Accounting Analyst II,Manufacturing,High Net Worth,N,No,11.0
3898,Rex,Gittings,Male,23,1955-12-28,Research Associate,Health,Affluent Customer,N,Yes,6.0
485,Prudi,Edon,Female,0,1955-12-30,Technical Writer,Manufacturing,Affluent Customer,N,Yes,15.0
1451,Zachery,Hamber,Male,99,1955-12-31,Safety Technician III,Retail,Mass Customer,N,No,20.0
470,Libby,Wardesworth,Female,82,1956-01-01,GIS Technical Architect,Financial Services,Affluent Customer,N,No,14.0
3747,Maurise,Beal,Male,82,1956-01-10,Staff Scientist,0,Affluent Customer,N,Yes,18.0
3184,Duky,Crichley,Male,25,1956-01-18,Senior Financial Analyst,Financial Services,Mass Customer,N,No,10.0
3290,Cindy,Eakin,Female,33,1956-01-21,Staff Accountant II,Manufacturing,Mass Customer,N,No,13.0
276,Jehanna,Alvarado,Female,69,1956-02-19,VP Product Management,0,High Net Worth,N,No,15.0
3598,Lane,Maguire,Male,11,1956-02-27,Physical Therapy Assistant,0,High Net Worth,N,Yes,6.0
2817,Frazier,Streak,Male,82,1956-03-08,Software Test Engineer I,0,Affluent Customer,N,No,7.0
2227,Rosita,Soppeth,Female,12,1956-03-09,Geological Engineer,Manufacturing,High Net Worth,N,No,9.0
3845,Nariko,McClymont,Female,57,1956-03-12,Geologist III,Manufacturing,Mass Customer,N,No,15.0
721,Stewart,Brosoli,Male,69,1956-03-17,Marketing Manager,IT,Mass Customer,N,No,5.0
97,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0
2971,Deena,Burnsides,Female,11,1956-03-18,0,0,High Net Worth,N,No,17.0
3858,Boonie,Searle,Male,81,1956-03-20,Software Consultant,Manufacturing,Mass Customer,N,No,14.0
430,Gale,Done,Male,8,1956-03-26,Research Nurse,Health,Affluent Customer,N,Yes,18.0
1661,Xenia,Willmett,Female,40,1956-04-01,Electrical Engineer,Manufacturing,High Net Worth,N,No,11.0
359,Atalanta,Starbucke,Female,64,1956-04-02,Staff Scientist,Property,Mass Customer,N,Yes,19.0
1701,Bryn,Whisby,Male,14,1956-04-03,Research Nurse,Health,Mass Customer,N,No,17.0
576,Nadean,Fielding,Female,41,1956-04-08,0,Property,Mass Customer,N,Yes,19.0
2379,Merissa,Milella,Female,44,1956-04-09,Technical Writer,Retail,Mass Customer,N,Yes,15.0
1305,Doyle,Oleksinski,Male,13,1956-04-12,Occupational Therapist,Health,Affluent Customer,N,Yes,13.0
1420,Mallorie,Gouth,Female,74,1956-04-14,Senior Editor,Property,Mass Customer,N,No,20.0
700,Ransell,Ruler,Male,18,1956-05-01,Food Chemist,Health,Mass Customer,N,Yes,8.0
2084,Carolynn,Samsin,Female,83,1956-05-03,Pharmacist,Health,Mass Customer,N,No,11.0
112,Gage,Nickless,Male,67,1956-05-06,Staff Scientist,0,Mass Customer,N,No,20.0
614,Rebeca,Martonfi,Female,93,1956-05-11,Human Resources Assistant I,Property,Mass Customer,N,No,19.0
379,Teriann,Birdsey,Female,66,1956-05-15,Structural Engineer,Property,Mass Customer,N,No,17.0
1552,Vanna,Matts,Female,68,1956-05-31,Administrative Assistant IV,Retail,High Net Worth,N,No,7.0
1747,Skell,Oxenden,Male,83,1956-06-07,Recruiter,Manufacturing,Mass Customer,N,Yes,10.0
1986,Jacobo,Rosenblum,Male,56,1956-06-08,Research Associate,Health,Affluent Customer,N,No,8.0
574,Etan,Poyle,Male,64,1956-06-10,VP Accounting,Financial Services,High Net Worth,N,Yes,11.0
299,Malachi,Hadcroft,Male,88,1956-06-22,Clinical Specialist,Health,Mass Customer,N,No,9.0
3794,Taylor,Dollimore,Male,88,1956-06-24,Systems Administrator III,Argiculture,High Net Worth,N,Yes,5.0
3027,Leandra,Schubert,Female,67,1956-07-07,General Manager,Manufacturing,High Net Worth,N,No,20.0
3963,Aubrey,Souten,Female,28,1956-07-21,Sales Associate,Manufacturing,High Net Worth,N,No,5.0
3485,Reece,Crewther,Male,67,1956-07-25,Business Systems Development Analyst,Manufacturing,Mass Customer,N,No,18.0
2773,Danella,Chevers,Female,50,1956-07-28,0,Manufacturing,Mass Customer,N,No,14.0
2078,Eda,0,Female,49,1956-07-29,Account Executive,0,High Net Worth,N,No,11.0
2662,Royce,Pietrowicz,Male,69,1956-08-01,Environmental Tech,Health,Mass Customer,N,Yes,19.0
1130,Sigmund,Barkworth,Male,16,1956-08-07,VP Marketing,0,Mass Customer,N,No,15.0
2067,Wandie,Nare,Female,23,1956-08-08,Account Representative I,0,High Net Worth,N,No,8.0
1036,Sissie,Rielly,Female,95,1956-08-08,Human Resources Assistant II,Financial Services,Mass Customer,N,No,10.0
3788,Conn,Westberg,Male,52,1956-08-08,Civil Engineer,Manufacturing,Mass Customer,N,Yes,6.0
297,Maurise,Lenglet,Male,69,1956-08-15,Engineer I,Manufacturing,High Net Worth,N,No,9.0
1425,Allyn,Carswell,Female,72,1956-08-23,Financial Advisor,Financial Services,Mass Customer,N,No,17.0
2445,Lovell,Kiss,Male,33,1956-09-07,0,Retail,Affluent Customer,N,No,17.0
3033,Mara,Tofanini,Female,54,1956-09-09,Web Designer IV,Manufacturing,Mass Customer,N,Yes,18.0
298,Corabelle,Hartnell,Female,80,1956-09-15,Budget/Accounting Analyst I,Financial Services,Mass Customer,N,Yes,7.0
54,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0
2475,Hal,Braddon,Male,13,1956-09-25,Administrative Officer,Property,High Net Worth,N,No,17.0
3456,Robbi,Springthorpe,Female,13,1956-09-26,0,Manufacturing,Mass Customer,N,No,16.0
3482,Emlyn,Burnel,Male,19,1956-10-02,Senior Sales Associate,Health,High Net Worth,N,Yes,15.0
727,Winthrop,Corser,Male,60,1956-10-03,VP Accounting,Financial Services,Mass Customer,N,Yes,8.0
3718,Dorette,Attridge,Female,26,1956-10-19,Sales Representative,Retail,Mass Customer,N,No,6.0
537,Millicent,Wiffler,Female,33,1956-10-21,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,5.0
1457,Ashley,Behneke,Male,40,1956-10-22,Account Representative IV,Telecommunications,Affluent Customer,N,No,11.0
3577,Dorella,Sineath,Female,57,1956-10-27,Staff Accountant IV,Property,Mass Customer,N,No,12.0
1545,Natalya,Moscone,Female,22,1956-10-28,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8.0
3301,Faulkner,McKiernan,Male,17,1956-10-30,Compensation Analyst,Financial Services,Affluent Customer,N,No,19.0
422,Orville,Akerman,Male,43,1956-11-08,Senior Quality Engineer,0,Mass Customer,N,No,9.0
3347,Amanda,Hazeltine,Female,93,1956-11-08,Pharmacist,Health,High Net Worth,N,Yes,6.0
2433,Lenci,Soars,Male,40,1956-11-17,Environmental Specialist,0,Affluent Customer,N,No,18.0
101,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0
3001,Tracey,Verdun,Male,62,1956-12-06,Paralegal,Financial Services,Mass Customer,N,Yes,16.0
1460,Earl,Skeels,Male,71,1957-01-04,0,Retail,Mass Customer,N,Yes,9.0
815,Donni,Boor,Female,71,1957-01-10,Product Engineer,Manufacturing,Mass Customer,N,No,15.0
836,Derick,Fasler,Male,4,1957-01-11,Internal Auditor,0,Mass Customer,N,Yes,13.0
3955,Hector,Poundsford,Male,54,1957-01-17,Administrative Assistant III,Retail,Mass Customer,N,Yes,12.0
2675,Stinky,Marlen,Male,33,1957-01-21,Product Engineer,Retail,Mass Customer,N,Yes,12.0
1670,Nerty,Renak,Female,69,1957-01-23,Account Executive,Property,Mass Customer,N,Yes,14.0
646,Stanislas,Baildon,Male,61,1957-01-23,Assistant Manager,Retail,Mass Customer,N,Yes,10.0
199,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0
3605,Jamima,Wainscot,Female,52,1957-02-09,Graphic Designer,0,High Net Worth,N,No,15.0
2281,Dominic,Gregoletti,Male,81,1957-02-25,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,7.0
3461,Jehanna,Sparhawk,Female,96,1957-03-03,Registered Nurse,Health,High Net Worth,N,No,17.0
2346,L;urette,Annott,Female,79,1957-03-04,Programmer Analyst I,0,High Net Worth,N,No,11.0
2733,Hetty,Thormann,Female,35,1957-03-07,0,Manufacturing,High Net Worth,N,No,10.0
2213,Farlay,Plevey,Male,52,1957-03-26,0,Manufacturing,High Net Worth,N,Yes,8.0
3665,Mathew,Marousek,Male,56,1957-03-27,Statistician II,Health,High Net Worth,N,No,10.0
3682,Lorain,Maliphant,Female,67,1957-03-30,Chief Design Engineer,0,Mass Customer,N,Yes,11.0
2856,Alanna,Geram,Female,9,1957-04-05,Biostatistician I,Manufacturing,Mass Customer,N,Yes,17.0
3269,Tracey,Redsull,Male,47,1957-04-12,Administrative Officer,Financial Services,Mass Customer,N,Yes,5.0
1987,Kelwin,Goldsmith,Male,27,1957-04-15,Recruiting Manager,Property,Mass Customer,N,No,8.0
1857,Gabriella,0,Female,30,1957-04-26,Senior Sales Associate,Manufacturing,High Net Worth,N,Yes,11.0
3816,Tuckie,0,Male,65,1957-05-02,VP Product Management,Manufacturing,High Net Worth,N,No,13.0
3763,Nonie,Newson,Female,29,1957-05-06,Cost Accountant,Financial Services,Mass Customer,N,Yes,15.0
1008,Nolie,Orring,Female,16,1957-05-09,Research Associate,Manufacturing,High Net Worth,N,Yes,13.0
3689,Sheela,Nutton,Female,86,1957-05-11,Chemical Engineer,Manufacturing,Mass Customer,N,No,17.0
3792,Shannen,Pitcock,Female,49,1957-05-12,Engineer IV,0,Affluent Customer,N,Yes,15.0
3247,Alastair,Van der Beken,Male,32,1957-05-15,Programmer Analyst II,0,Affluent Customer,N,No,5.0
3871,Wilma,Budcock,Female,14,1957-05-15,Sales Representative,Retail,High Net Worth,N,Yes,12.0
2366,Lorne,Sabin,Male,40,1957-05-22,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,16.0
2205,Osmond,McCamish,Male,60,1957-05-25,Structural Engineer,Financial Services,Affluent Customer,N,No,14.0
2303,Shelia,Bellew,Female,65,1957-06-01,0,0,Mass Customer,N,Yes,11.0
1071,Curt,Petrello,Male,60,1957-06-01,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0
2401,Merrielle,Strafen,Female,99,1957-06-07,Cost Accountant,Financial Services,Mass Customer,N,Yes,8.0
2806,Lynna,Revens,Female,9,1957-06-18,Senior Editor,Manufacturing,Mass Customer,N,Yes,11.0
32,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,0,Affluent Customer,N,Yes,11.0
1468,Shermy,0,Male,77,1957-06-29,Financial Advisor,Financial Services,Affluent Customer,N,Yes,14.0
3516,Domeniga,Terney,Female,47,1957-07-04,Accounting Assistant IV,0,Mass Customer,N,Yes,6.0
2469,Roy,Dunaway,Male,70,1957-07-04,0,Argiculture,Mass Customer,N,No,13.0
3580,Lindsy,Ygo,Female,38,1957-07-10,0,0,Mass Customer,N,Yes,6.0
3711,Esmeralda,Klousner,Female,22,1957-07-12,Recruiting Manager,Financial Services,Mass Customer,N,No,19.0
1571,Tam,Jahner,Male,51,1957-07-26,Recruiting Manager,Financial Services,High Net Worth,N,Yes,16.0
2404,Quintana,Merricks,Female,16,1957-07-28,Structural Analysis Engineer,0,Mass Customer,N,No,18.0
1403,Emmott,Mercik,Male,78,1957-07-30,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,14.0
342,Nicole,Johananoff,Female,76,1957-08-14,Recruiter,Property,Affluent Customer,N,No,13.0
310,Jaimie,Halms,Female,86,1957-08-16,Internal Auditor,Health,High Net Worth,N,No,12.0
1384,Melesa,Priddy,Female,39,1957-08-17,Cost Accountant,Financial Services,Mass Customer,N,No,16.0
208,Udall,Bellard,Male,9,1957-08-28,Analog Circuit Design manager,0,Affluent Customer,N,Yes,6.0
142,Kendall,Figg,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0
555,Oralia,Gifford,Female,69,1957-09-08,Junior Executive,0,Mass Customer,N,No,11.0
1873,Nickolai,McChesney,Male,17,1957-09-29,0,Argiculture,High Net Worth,N,Yes,7.0
1349,Bing,Vicar,Male,10,1957-09-30,Staff Scientist,Retail,Mass Customer,N,Yes,8.0
120,Myles,Pauncefort,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0
2441,Odie,Enrrico,Male,8,1957-10-13,Social Worker,Health,Affluent Customer,N,Yes,17.0
2613,Anatollo,Stendell,Male,65,1957-10-16,0,Retail,High Net Worth,N,No,18.0
168,Alfy,Bruhnke,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0
