,address,postcode,state,country,property_valuation
2275,054 Mesta Drive,3620,Victoria,Australia,1
2276,33550 Spohn Terrace,3630,Victoria,Australia,1
2279,10055 Old Shore Lane,3630,Victoria,Australia,1
2283,66 Talmadge Terrace,3630,Victoria,Australia,1
2284,09356 Badeau Drive,3630,Victoria,Australia,1
2286,91 Ilene Parkway,3630,Victoria,Australia,1
2288,5701 Sugar Court,2880,New South Wales,Australia,1
122,0 Pearson Crossing,4405,Queensland,Australia,1
973,1 Boyd Junction,2460,New South Wales,Australia,1
3791,9 Dwight Drive,2710,New South Wales,Australia,1
2308,159 Graceland Terrace,4343,Queensland,Australia,1
2344,99 Eastlawn Way,2360,New South Wales,Australia,1
1039,5 Jana Drive,4570,Queensland,Australia,1
176,8256 Annamark Court,3638,Victoria,Australia,1
179,50 Meadow Ridge Way,2880,New South Wales,Australia,1
3276,5718 John Wall Plaza,4350,Queensland,Australia,1
401,07 New Castle Circle,2646,New South Wales,Australia,1
397,586 Miller Parkway,2835,New South Wales,Australia,1
3313,2 Donald Crossing,2880,New South Wales,Australia,1
240,07227 Hoard Terrace,3500,Victoria,Australia,1
3330,3732 Linden Avenue,4820,Queensland,Australia,1
3331,6043 Badeau Place,4820,Queensland,Australia,1
375,24 Scoville Parkway,4670,Queensland,Australia,1
3343,8530 Darwin Street,2880,New South Wales,Australia,1
3364,7234 Dawn Alley,4670,Queensland,Australia,1
249,0850 Schmedeman Drive,3580,Victoria,Australia,1
3381,367 Talmadge Way,2705,New South Wales,Australia,1
3397,73 Glacier Hill Drive,2880,New South Wales,Australia,1
3404,0 Ronald Regan Way,4870,Queensland,Australia,1
3413,7 Barnett Road,2713,New South Wales,Australia,1
3424,321 Glendale Center,2820,New South Wales,Australia,1
256,7 Eastlawn Street,2346,New South Wales,Australia,1
3426,373 Cordelia Trail,3500,Victoria,Australia,1
3457,785 Crest Line Hill,3634,Victoria,Australia,1
3469,06 Lake View Plaza,4515,Queensland,Australia,1
3473,90 Westerfield Street,2880,New South Wales,Australia,1
413,713 Eastwood Terrace,2360,New South Wales,Australia,1
2739,33297 Hoepker Way,2843,New South Wales,Australia,1
3224,2 Del Sol Circle,3012,Victoria,Australia,1
3202,66 Sunfield Road,2821,New South Wales,Australia,1
701,8 Dottie Court,3480,Victoria,Australia,1
2759,1 Wayridge Park,4301,Queensland,Australia,1
2769,23 Clyde Gallagher Alley,3840,Victoria,Australia,1
2797,07526 Union Lane,3377,Victoria,Australia,1
667,618 Independence Pass,2800,New South Wales,Australia,1
639,598 Randy Way,2380,New South Wales,Australia,1
2894,75717 Bartillon Road,2880,New South Wales,Australia,1
624,64 Nelson Drive,4820,Queensland,Australia,1
2936,692 Anniversary Junction,4207,Queensland,Australia,1
583,62 Cherokee Terrace,2630,New South Wales,Australia,1
3015,2 Scott Pass,4870,Queensland,Australia,1
3026,50 7th Circle,4305,Queensland,Australia,1
3660,7730 Oakridge Trail,3380,Victoria,Australia,1
555,62117 Trailsway Place,3356,Victoria,Australia,1
3040,5999 Waxwing Lane,4511,Queensland,Australia,1
3043,80302 Stang Parkway,3677,Victoria,Australia,1
544,2 East Circle,2716,New South Wales,Australia,1
3123,6958 Knutson Pass,3620,Victoria,Australia,1
3129,981 Kinsman Crossing,2880,New South Wales,Australia,1
3166,62 John Wall Lane,2326,New South Wales,Australia,1
3618,8651 Graceland Way,2830,New South Wales,Australia,1
3223,751 Cordelia Terrace,2880,New South Wales,Australia,1
2187,3 Thierer Plaza,4815,Queensland,Australia,1
2434,75 Westerfield Park,4570,Queensland,Australia,1
2151,13852 Burning Wood Terrace,2199,New South Wales,Australia,1
1408,967 Farmco Road,2880,New South Wales,Australia,1
1931,710 Schiller Plaza,3338,Victoria,Australia,1
1193,81167 Division Hill,2873,New South Wales,Australia,1
1915,00213 Atwood Pass,2340,New South Wales,Australia,1
1261,32 Meadow Ridge Alley,4610,Queensland,Australia,1
1403,6 Anderson Court,2880,New South Wales,Australia,1
1899,7450 Prairie Rose Drive,2868,New South Wales,Australia,1
3881,4 Emmet Avenue,4300,Queensland,Australia,1
1894,0306 Donald Court,3844,Victoria,Australia,1
1689,41 Dwight Way,3585,Victoria,Australia,1
1258,12 Prentice Point,4670,Queensland,Australia,1
3917,0 Southridge Drive,4311,Queensland,Australia,1
1298,0917 Golf View Parkway,4217,Queensland,Australia,1
3884,23217 Waubesa Pass,2705,New South Wales,Australia,1
1366,66 Division Pass,3840,Victoria,Australia,1
1873,4 Bartelt Hill,4510,Queensland,Australia,1
1352,43811 Golf View Road,3380,Victoria,Australia,1
1858,904 Mandrake Parkway,2820,New South Wales,Australia,1
1348,5298 Nevada Circle,3500,Victoria,Australia,1
1242,90351 Duke Junction,4820,Queensland,Australia,1
3897,60 Towne Pass,2877,New South Wales,Australia,1
1254,33 Bayside Way,4702,Queensland,Australia,1
1771,56 Bultman Parkway,4721,Queensland,Australia,1
1253,71 Sundown Circle,4720,Queensland,Australia,1
1249,563 Northport Drive,4701,Queensland,Australia,1
1649,461 Esker Court,3630,Victoria,Australia,1
1645,5274 Lindbergh Alley,4217,Queensland,Australia,1
1925,3542 Arkansas Place,3380,Victoria,Australia,1
1182,53740 Vera Parkway,3644,Victoria,Australia,1
1070,69881 Westport Parkway,2880,New South Wales,Australia,1
1801,507 Onsgard Place,4701,Queensland,Australia,1
2135,47336 Garrison Court,4670,Queensland,Australia,1
2128,32 Spenser Crossing,2880,New South Wales,Australia,1
2121,8209 Tony Plaza,2810,New South Wales,Australia,1
2099,831 Prairieview Trail,4405,Queensland,Australia,1
1284,9821 Fair Oaks Trail,4306,Queensland,Australia,1
1842,894 Duke Crossing,2665,New South Wales,Australia,1
2077,73637 Nancy Street,2469,New South Wales,Australia,1
1522,83 Luster Drive,2848,New South Wales,Australia,1
2063,575 Katie Terrace,2835,New South Wales,Australia,1
2053,9362 Grim Plaza,4702,Queensland,Australia,1
1782,79427 Hudson Trail,3677,Victoria,Australia,1
32,54 Sage Plaza,4726,Queensland,Australia,1
1340,294 Lawn Junction,3677,Victoria,Australia,1
3860,3748 Lake View Lane,2590,New South Wales,Australia,1
75,7 Jackson Point,3561,Victoria,Australia,1
1150,9618 Havey Place,2710,New South Wales,Australia,1
1272,6659 Kenwood Plaza,4380,Queensland,Australia,1
1625,5528 North Hill,2681,New South Wales,Australia,1
1849,48023 International Way,3630,Victoria,Australia,1
1618,94181 South Park,3264,Victoria,Australia,1
1442,89684 Coolidge Hill,2630,New South Wales,Australia,1
1160,11 Corscot Plaza,2710,New South Wales,Australia,1
3176,26 Randy Road,2642,New South Wales,Australia,2
3168,8 Erie Center,3690,Victoria,Australia,2
541,20198 Hansons Plaza,2340,New South Wales,Australia,2
1312,58563 Monterey Hill,4300,Queensland,Australia,2
3187,2 Gateway Drive,3995,Victoria,Australia,2
1328,09653 Golf View Way,3840,Victoria,Australia,2
552,956 Mccormick Place,4127,Queensland,Australia,2
3057,6 Westport Road,4350,Queensland,Australia,2
1329,433 Mockingbird Center,3840,Victoria,Australia,2
520,81848 Amoth Road,3282,Victoria,Australia,2
1314,9 Dawn Court,4128,Queensland,Australia,2
3037,5649 Crest Line Place,4455,Queensland,Australia,2
3103,1742 Scott Center,4670,Queensland,Australia,2
483,4671 Buell Trail,3564,Victoria,Australia,2
3124,0 Stephen Park,4702,Queensland,Australia,2
3307,83 Graedel Court,4505,Queensland,Australia,2
1342,9 Logan Drive,3620,Victoria,Australia,2
3519,528 Golf View Plaza,2471,New South Wales,Australia,2
288,00 5th Lane,2830,New South Wales,Australia,2
3505,35280 Harper Junction,2700,New South Wales,Australia,2
1473,12 Express Pass,2340,New South Wales,Australia,2
1445,6386 Raven Road,2579,New South Wales,Australia,2
313,671 American Ash Way,2365,New South Wales,Australia,2
315,1108 Nevada Junction,4701,Queensland,Australia,2
1441,70262 Hermina Court,3690,Victoria,Australia,2
329,3093 Mockingbird Place,3356,Victoria,Australia,2
1424,3 Rigney Center,2794,New South Wales,Australia,2
1626,9179 Sunfield Terrace,4510,Queensland,Australia,2
3362,3 Weeping Birch Plaza,3677,Victoria,Australia,2
1404,11207 Lukken Center,3500,Victoria,Australia,2
455,455 Hooker Lane,3337,Victoria,Australia,2
3341,7353 Thierer Road,4300,Queensland,Australia,2
1659,9161 Macpherson Terrace,4680,Queensland,Australia,2
1684,16 Saint Paul Street,4670,Queensland,Australia,2
3320,0421 Anthes Court,2870,New South Wales,Australia,2
386,9457 Arizona Plaza,2642,New South Wales,Australia,2
1730,63862 Dawn Park,4655,Queensland,Australia,2
3302,1172 Mesta Center,4740,Queensland,Australia,2
3271,5 Coolidge Avenue,4750,Queensland,Australia,2
1346,30 Crescent Oaks Point,3564,Victoria,Australia,2
418,27 Petterle Center,4370,Queensland,Australia,2
428,09 Graceland Junction,3204,Victoria,Australia,2
1753,4 5th Circle,2800,New South Wales,Australia,2
1343,6002 Del Sol Trail,3630,Victoria,Australia,2
3203,43 South Pass,3620,Victoria,Australia,2
3340,7 Clemons Drive,4370,Queensland,Australia,2
3023,7 Scoville Trail,4304,Queensland,Australia,2
2775,4362 Morningstar Place,4869,Queensland,Australia,2
1286,8 Kinsman Alley,4304,Queensland,Australia,2
848,49 Buhler Plaza,2650,New South Wales,Australia,2
850,3 Magdeline Way,4415,Queensland,Australia,2
2522,633 Menomonie Junction,3523,Victoria,Australia,2
2520,88551 Hollow Ridge Pass,3500,Victoria,Australia,2
2514,685 International Lane,4825,Queensland,Australia,2
2504,53 Anthes Point,4341,Queensland,Australia,2
2475,22779 Graedel Road,4655,Queensland,Australia,2
1905,07273 Sundown Trail,2358,New South Wales,Australia,2
2469,70 Erie Street,4814,Queensland,Australia,2
1907,3 Roth Place,2449,New South Wales,Australia,2
931,5 Reindahl Point,3400,Victoria,Australia,2
935,54905 Anniversary Pass,4570,Queensland,Australia,2
1185,1 Merrick Parkway,2830,New South Wales,Australia,2
2353,6 Graceland Court,4301,Queensland,Australia,2
1933,4 Golden Leaf Road,4670,Queensland,Australia,2
1974,38759 Butterfield Avenue,4305,Queensland,Australia,2
1977,8 Farwell Parkway,2428,New South Wales,Australia,2
2307,25139 Rockefeller Center,4350,Queensland,Australia,2
2003,559 Blackbird Street,4580,Queensland,Australia,2
2014,5795 Comanche Circle,4825,Queensland,Australia,2
2033,8492 Autumn Leaf Center,3214,Victoria,Australia,2
1134,03 Holmberg Park,4127,Queensland,Australia,2
2278,369 Milwaukee Court,3630,Victoria,Australia,2
2270,3417 Huxley Pass,3355,Victoria,Australia,2
2079,891 Mendota Junction,4127,Queensland,Australia,2
2093,794 Kennedy Court,4740,Queensland,Australia,2
2096,344 Rockefeller Way,3966,Victoria,Australia,2
2125,26064 Morningstar Junction,2480,New South Wales,Australia,2
2212,47 Chinook Road,4421,Queensland,Australia,2
2540,709 Rieder Terrace,3995,Victoria,Australia,2
2551,0 Dunning Plaza,2462,New South Wales,Australia,2
2554,3934 Karstens Circle,2650,New South Wales,Australia,2
1230,67348 Lakewood Gardens Road,2852,New South Wales,Australia,2
3007,8003 Pepper Wood Way,3250,Victoria,Australia,2
2997,673 Comanche Parkway,2470,New South Wales,Australia,2
591,067 Cottonwood Park,4340,Queensland,Australia,2
2929,13282 Pond Circle,2471,New South Wales,Australia,2
2918,3957 American Ash Plaza,2440,New South Wales,Australia,2
1270,0 Summerview Pass,4511,Queensland,Australia,2
641,3 Erie Hill,3564,Victoria,Australia,2
665,756 Farragut Place,4740,Queensland,Australia,2
1268,7928 Mendota Circle,4503,Queensland,Australia,2
2791,149 Browning Terrace,2343,New South Wales,Australia,2
2168,5 Dixon Junction,2340,New South Wales,Australia,2
1259,7008 Warner Park,4670,Queensland,Australia,2
1256,16623 Mariners Cove Plaza,4127,Queensland,Australia,2
1255,23 Hollow Ridge Avenue,4702,Queensland,Australia,2
564,35631 Colorado Crossing,2630,New South Wales,Australia,2
2736,259 Summerview Center,4740,Queensland,Australia,2
1252,33 Rockefeller Avenue,4740,Queensland,Australia,2
2700,7107 Manitowish Road,4815,Queensland,Australia,2
732,3 Talisman Place,4811,Queensland,Australia,2
2684,52541 Lakewood Gardens Court,3922,Victoria,Australia,2
2679,111 Hooker Avenue,4860,Queensland,Australia,2
2666,84 Southridge Lane,2799,New South Wales,Australia,2
2664,38 Armistice Lane,3250,Victoria,Australia,2
1248,11 Golf Pass,4805,Queensland,Australia,2
2657,648 Rigney Pass,2460,New South Wales,Australia,2
1244,7978 Carberry Way,4817,Queensland,Australia,2
778,68 Chinook Street,4814,Queensland,Australia,2
1243,47 Glacier Hill Junction,4873,Queensland,Australia,2
1241,65209 Merrick Avenue,4873,Queensland,Australia,2
803,246 Norway Maple Trail,3810,Victoria,Australia,2
2728,81254 Buhler Trail,4740,Queensland,Australia,2
3537,1 Chive Trail,4670,Queensland,Australia,2
735,12 6th Hill,4810,Queensland,Australia,2
3989,2918 Summer Ridge Hill,3030,Victoria,Australia,2
115,7 Carberry Crossing,2485,New South Wales,Australia,2
3565,663 Sunfield Court,3564,Victoria,Australia,2
255,15 Straubel Way,4680,Queensland,Australia,2
3861,3720 Anniversary Court,4812,Queensland,Australia,2
117,5 Prairie Rose Road,4817,Queensland,Australia,2
3566,010 Maryland Court,3556,Victoria,Australia,2
3586,5699 Forster Street,2346,New South Wales,Australia,2
39,89314 Eagle Crest Center,4670,Queensland,Australia,2
3640,155 Sunfield Way,3212,Victoria,Australia,2
3714,7 Shasta Terrace,2821,New South Wales,Australia,2
3896,8458 Stang Parkway,2671,New South Wales,Australia,2
3936,695 Anthes Crossing,4350,Queensland,Australia,2
3958,98 Transport Plaza,2470,New South Wales,Australia,2
3928,730 Judy Drive,3939,Victoria,Australia,2
3555,4 Dexter Park,4505,Queensland,Australia,2
3950,724 Erie Way,3500,Victoria,Australia,2
3992,4 Dovetail Crossing,2350,New South Wales,Australia,2
266,6262 Elgar Avenue,4735,Queensland,Australia,2
3984,9461 Saint Paul Trail,2428,New South Wales,Australia,2
3593,2 Waxwing Terrace,2429,New South Wales,Australia,2
231,6 Morning Park,3666,Victoria,Australia,2
3944,28 Toban Center,3756,Victoria,Australia,2
195,7 Havey Point,4005,Queensland,Australia,2
250,131 Northfield Parkway,3355,Victoria,Australia,2
3871,2 Victoria Crossing,3280,Victoria,Australia,2
3598,29585 Weeping Birch Avenue,2830,New South Wales,Australia,2
3631,58 Hoepker Center,4343,Queensland,Australia,2
2671,1411 Jenifer Center,4670,Queensland,Australia,3
777,36744 Birchwood Center,4019,Queensland,Australia,3
775,70 Old Gate Street,2354,New South Wales,Australia,3
1195,614 Shopko Trail,4350,Queensland,Australia,3
3184,69 Huxley Lane,4205,Queensland,Australia,3
768,88 Bay Drive,4305,Queensland,Australia,3
480,00976 Sundown Lane,2428,New South Wales,Australia,3
747,62215 Delaware Plaza,4118,Queensland,Australia,3
2650,19 Fairview Road,4012,Queensland,Australia,3
20,28 5th Center,4413,Queensland,Australia,3
3167,2346 Dawn Terrace,4655,Queensland,Australia,3
493,470 Bunting Center,2447,New South Wales,Australia,3
748,37 Dorton Street,2594,New South Wales,Australia,3
1752,73425 Mitchell Court,4304,Queensland,Australia,3
2665,6988 Waxwing Hill,4700,Queensland,Australia,3
3876,9 Columbus Pass,2327,New South Wales,Australia,3
2689,99565 Warrior Alley,4510,Queensland,Australia,3
1353,19 Green Ridge Avenue,3340,Victoria,Australia,3
40,2028 Lakewood Place,2480,New South Wales,Australia,3
3616,8 Harper Center,2650,New South Wales,Australia,3
2019,53358 David Circle,4306,Queensland,Australia,3
3267,1 Toban Crossing,3616,Victoria,Australia,3
1151,098 Veith Hill,4510,Queensland,Australia,3
3856,1628 Bonner Hill,2480,New South Wales,Australia,3
416,690 Hanson Center,2330,New South Wales,Australia,3
3254,12357 Arapahoe Parkway,4740,Queensland,Australia,3
420,311 Dapin Point,2549,New South Wales,Australia,3
835,74251 Golden Leaf Lane,4413,Queensland,Australia,3
3859,0 Arapahoe Court,4305,Queensland,Australia,3
833,6 Green Ridge Circle,4350,Queensland,Australia,3
424,25386 Fallview Place,2340,New South Wales,Australia,3
2549,8561 Alpine Center,2380,New South Wales,Australia,3
1738,4912 Lukken Way,4570,Queensland,Australia,3
827,44997 Anniversary Way,4114,Queensland,Australia,3
2938,7 Debs Park,4157,Queensland,Australia,3
2565,457 Merry Pass,4812,Queensland,Australia,3
2569,15952 Mockingbird Court,2470,New South Wales,Australia,3
1963,243 Raven Drive,4815,Queensland,Australia,3
1951,37 Mockingbird Street,4017,Queensland,Australia,3
1177,62 Elka Terrace,2430,New South Wales,Australia,3
796,1626 Dawn Street,4514,Queensland,Australia,3
2614,25 Parkside Terrace,4570,Queensland,Australia,3
3209,050 Monterey Street,4869,Queensland,Australia,3
1934,1979 Arapahoe Trail,4701,Queensland,Australia,3
789,52737 Morningstar Crossing,2250,New South Wales,Australia,3
1932,698 Old Gate Lane,2619,New South Wales,Australia,3
1699,21800 Duke Parkway,3219,Victoria,Australia,3
2705,86445 Bonner Junction,4660,Queensland,Australia,3
3699,51158 Mitchell Place,3747,Victoria,Australia,3
722,80027 Ryan Terrace,3551,Victoria,Australia,3
3654,6 Michigan Lane,4076,Queensland,Australia,3
2858,69 Dexter Parkway,2460,New South Wales,Australia,3
557,311 Chive Way,4680,Queensland,Australia,3
647,36360 Coleman Trail,3850,Victoria,Australia,3
3022,7046 Fairview Place,4510,Queensland,Australia,3
3668,1 Upham Crossing,3041,Victoria,Australia,3
2877,8250 Johnson Point,4115,Queensland,Australia,3
1274,67396 Roxbury Court,4817,Queensland,Australia,3
1843,01714 Claremont Center,2474,New South Wales,Australia,3
629,04 Namekagon Pass,2326,New South Wales,Australia,3
2896,848 Cascade Alley,4301,Queensland,Australia,3
2992,09 Texas Plaza,4285,Queensland,Australia,3
1800,31 Eastwood Circle,2460,New South Wales,Australia,3
618,4 Loeprich Avenue,4022,Queensland,Australia,3
1826,16405 Doe Crossing Parkway,3630,Victoria,Australia,3
1827,16 Monument Place,4701,Queensland,Australia,3
615,1 Thackeray Crossing,4114,Queensland,Australia,3
2962,3673 Jenna Center,4301,Queensland,Australia,3
3679,81 Carpenter Terrace,3321,Victoria,Australia,3
2924,415 Walton Lane,4883,Queensland,Australia,3
2927,2875 Anhalt Court,4570,Queensland,Australia,3
3677,7 Killdeer Junction,4306,Queensland,Australia,3
1287,9989 Toban Way,4301,Queensland,Australia,3
1828,99841 Talisman Street,4224,Queensland,Australia,3
2942,64107 Little Fleur Trail,4211,Queensland,Australia,3
597,506 Iowa Center,4580,Queensland,Australia,3
617,1923 Fisk Lane,4341,Queensland,Australia,3
497,353 Stuart Trail,4702,Queensland,Australia,3
1262,37 Clarendon Lane,4655,Queensland,Australia,3
3650,13854 Artisan Avenue,4508,Queensland,Australia,3
1762,3 Nevada Road,4215,Queensland,Australia,3
1892,48 Dawn Center,4132,Queensland,Australia,3
3953,50774 Dennis Park,3631,Victoria,Australia,3
506,7 Hooker Place,2428,New South Wales,Australia,3
3105,03287 Hallows Center,4305,Queensland,Australia,3
407,42 Upham Pass,4558,Queensland,Australia,3
3102,2 Vidon Center,4818,Queensland,Australia,3
3099,9 Dryden Crossing,4118,Queensland,Australia,3
1775,2 Thierer Plaza,3976,Victoria,Australia,3
703,18939 Upham Hill,3551,Victoria,Australia,3
2754,68111 Bartillon Court,3995,Victoria,Australia,3
2755,18 School Alley,4655,Queensland,Australia,3
1798,3 Delladonna Street,4799,Queensland,Australia,3
695,6046 Sheridan Way,2322,New South Wales,Australia,3
3898,5 Rutledge Center,4311,Queensland,Australia,3
2790,4903 Hoepker Terrace,3500,Victoria,Australia,3
2796,9677 Hagan Lane,3212,Victoria,Australia,3
3641,2809 Anderson Lane,3350,Victoria,Australia,3
1315,1988 Bartillon Terrace,4500,Queensland,Australia,3
48,62 Steensland Road,4350,Queensland,Australia,3
3049,6 Service Parkway,4275,Queensland,Australia,3
210,0 Northport Court,4012,Queensland,Australia,3
1257,884 Shoshone Lane,4670,Queensland,Australia,3
3044,529 Monterey Street,3338,Victoria,Australia,3
2835,3619 Elgar Terrace,3337,Victoria,Australia,3
1260,51673 Heffernan Park,4655,Queensland,Australia,3
3695,00 Esker Point,4207,Queensland,Australia,3
2529,025 Knutson Terrace,2350,New South Wales,Australia,3
819,09413 Holmberg Terrace,4127,Queensland,Australia,3
2032,6950 Morrow Street,2326,New South Wales,Australia,3
1444,5 Carioca Pass,2594,New South Wales,Australia,3
3783,7524 David Place,2850,New South Wales,Australia,3
2354,24 Lerdahl Street,4825,Queensland,Australia,3
3430,400 Petterle Crossing,4301,Queensland,Australia,3
1067,3 Center Crossing,2452,New South Wales,Australia,3
3423,5356 Ruskin Place,2850,New South Wales,Australia,3
1069,4 Quincy Trail,2800,New South Wales,Australia,3
939,9 Colorado Trail,3799,Victoria,Australia,3
2150,5882 American Ash Point,3214,Victoria,Australia,3
1575,3384 Nelson Circle,4227,Queensland,Australia,3
2146,124 Fulton Crossing,4680,Queensland,Australia,3
3438,0063 Walton Junction,2380,New South Wales,Australia,3
131,638 Thackeray Junction,4178,Queensland,Australia,3
1600,2517 Glacier Hill Point,3219,Victoria,Australia,3
2129,654 Kim Parkway,3175,Victoria,Australia,3
3835,420 Twin Pines Crossing,3338,Victoria,Australia,3
1087,5515 Artisan Center,3337,Victoria,Australia,3
3376,602 Haas Drive,3799,Victoria,Australia,3
351,7 Park Meadow Drive,4055,Queensland,Australia,3
2415,290 Jay Drive,4210,Queensland,Australia,3
3569,225 American Point,4508,Queensland,Australia,3
2103,47878 Pond Park,4133,Queensland,Australia,3
3836,5131 Northview Hill,3177,Victoria,Australia,3
1095,1063 Forest Avenue,4510,Queensland,Australia,3
2137,75581 Express Center,4503,Queensland,Australia,3
3785,8681 Dennis Pass,3215,Victoria,Australia,3
3445,21 Sugar Place,4207,Queensland,Australia,3
3994,1482 Hauk Trail,3064,Victoria,Australia,3
2223,81 Lien Drive,3216,Victoria,Australia,3
1472,472 Blaine Junction,2440,New South Wales,Australia,3
3803,43 Hollow Ridge Center,3215,Victoria,Australia,3
2246,81 Forest Dale Center,3555,Victoria,Australia,3
1029,9 Forest Circle,2324,New South Wales,Australia,3
1476,038 North Court,2333,New South Wales,Australia,3
2264,1 Del Sol Center,2323,New South Wales,Australia,3
3520,474 Farragut Way,4812,Queensland,Australia,3
1483,7 Mifflin Terrace,2323,New South Wales,Australia,3
996,27 Sunfield Center,4869,Queensland,Australia,3
2281,67 Elka Court,3630,Victoria,Australia,3
3502,88979 Hazelcrest Way,3555,Victoria,Australia,3
988,84019 Porter Trail,2871,New South Wales,Australia,3
2285,1032 Killdeer Place,3631,Victoria,Australia,3
1487,4861 School Park,2290,New South Wales,Australia,3
981,82 Shasta Drive,4825,Queensland,Australia,3
301,58 Spenser Circle,3030,Victoria,Australia,3
3467,75 Longview Terrace,2640,New South Wales,Australia,3
3787,9904 Oakridge Parkway,4370,Queensland,Australia,3
3464,9 Maywood Point,4304,Queensland,Australia,3
309,706 Anniversary Alley,3064,Victoria,Australia,3
2309,0522 Nelson Crossing,4304,Queensland,Australia,3
2185,4478 Banding Way,2830,New South Wales,Australia,3
2316,386 Jay Junction,4218,Queensland,Australia,3
126,352 Forster Place,4132,Queensland,Australia,3
2445,76 Schiller Pass,4455,Queensland,Australia,3
900,237 Summit Pass,4506,Queensland,Australia,3
2935,5748 Walton Court,4114,Queensland,Australia,3
1097,4 Barby Road,2647,New South Wales,Australia,3
1657,83 Graceland Avenue,3977,Victoria,Australia,3
394,47226 Algoma Place,4305,Queensland,Australia,3
139,22 Oxford Junction,2315,New South Wales,Australia,3
878,77 Pawling Pass,2537,New South Wales,Australia,3
2047,144 Parkside Parkway,4655,Queensland,Australia,3
2078,9 Beilfuss Crossing,2705,New South Wales,Australia,3
2059,4 Sachtjen Drive,4701,Queensland,Australia,3
3846,33061 Fremont Lane,4720,Queensland,Australia,3
1132,592 Merry Lane,3184,Victoria,Australia,3
234,95 Eliot Street,4514,Queensland,Australia,3
2086,68882 Commercial Crossing,2320,New South Wales,Australia,3
1126,4284 Debra Drive,4814,Queensland,Australia,3
3334,38 Jackson Lane,3610,Victoria,Australia,3
867,5 Hauk Lane,2650,New South Wales,Australia,3
398,32571 Dixon Center,3337,Victoria,Australia,3
897,9 Northridge Lane,2340,New South Wales,Australia,3
3326,11 Hermina Junction,3219,Victoria,Australia,3
2050,1786 Orin Street,2327,New South Wales,Australia,3
3756,5 Atwood Crossing,2321,New South Wales,Australia,3
2001,4 Rowland Plaza,2324,New South Wales,Australia,4
1273,41 Knutson Alley,4370,Queensland,Australia,4
3539,266 Little Fleur Street,4350,Queensland,Australia,4
2505,0 Mosinee Lane,3250,Victoria,Australia,4
984,730 Butternut Trail,4018,Queensland,Australia,4
42,543 Killdeer Park,2322,New South Wales,Australia,4
2178,8142 Tomscot Drive,4132,Queensland,Australia,4
2194,886 Rusk Pass,2321,New South Wales,Australia,4
648,67 Aberg Hill,2519,New South Wales,Australia,4
980,9 Debs Trail,4500,Queensland,Australia,4
1128,7674 Roxbury Junction,4815,Queensland,Australia,4
1996,3 Bonner Point,2800,New South Wales,Australia,4
1266,93 Corben Crossing,4506,Queensland,Australia,4
826,205 Melody Circle,4207,Queensland,Australia,4
2192,42473 Sycamore Pass,3355,Victoria,Australia,4
2849,3306 Bartelt Alley,2323,New South Wales,Australia,4
2188,9 Hauk Alley,3915,Victoria,Australia,4
121,8 Hagan Hill,4508,Queensland,Australia,4
2828,2038 Esker Road,2650,New South Wales,Australia,4
2542,5463 Arapahoe Point,4503,Queensland,Australia,4
2813,01 Vernon Court,4500,Queensland,Australia,4
2293,974 Fisk Alley,3977,Victoria,Australia,4
1153,7975 Browning Plaza,3038,Victoria,Australia,4
3912,7365 Carioca Hill,4680,Queensland,Australia,4
